phone_id,phone_number,actor_id,sim_status,network_provider,first_seen_phase,source
PH566476,9990566476,69,INACTIVE,Provider-B,3,persons_synthetic
PH996843,9774996843,70,ACTIVE,Provider-C,3,persons_synthetic
PH130526,9764130526,71,ACTIVE,Provider-C,1,persons_synthetic
PH302652,9488302652,72,ACTIVE,Provider-C,2,persons_synthetic
PH927151,9719927151,73,ACTIVE,Provider-A,1,persons_synthetic
PH468299,9306468299,74,ACTIVE,Provider-D,1,persons_synthetic
PH528252,9856528252,75,INACTIVE,Provider-C,2,persons_synthetic
PH684276,9174684276,76,INACTIVE,Provider-A,1,persons_synthetic
PH203558,9149203558,77,INACTIVE,Provider-A,2,persons_synthetic
PH026086,9810026086,78,ACTIVE,Provider-B,3,persons_synthetic
PH703907,9344703907,79,INACTIVE,Provider-B,3,persons_synthetic
PH075810,9930075810,80,INACTIVE,Provider-A,3,persons_synthetic
PH727955,9410727955,81,ACTIVE,Provider-D,2,persons_synthetic
PH675980,9185675980,82,INACTIVE,Provider-C,2,persons_synthetic
PH957310,9349957310,83,ACTIVE,Provider-A,2,persons_synthetic
PH449460,9208449460,84,ACTIVE,Provider-B,3,persons_synthetic
PH157429,9508157429,85,ACTIVE,Provider-D,3,persons_synthetic
PH471886,9398471886,86,ACTIVE,Provider-B,2,persons_synthetic
PH845604,9586845604,87,ACTIVE,Provider-C,3,persons_synthetic
PH560971,9782560971,88,INACTIVE,Provider-B,2,persons_synthetic
PH619255,9995619255,89,INACTIVE,Provider-C,3,persons_synthetic
PH735568,9491735568,90,ACTIVE,Provider-D,1,persons_synthetic
PH648506,9274648506,91,ACTIVE,Provider-B,3,persons_synthetic
PH478786,9497478786,92,ACTIVE,Provider-C,3,persons_synthetic
PH469012,9481469012,93,ACTIVE,Provider-C,3,persons_synthetic
PH956459,9324956459,94,ACTIVE,Provider-A,3,persons_synthetic
PH595113,9819595113,95,ACTIVE,Provider-B,2,persons_synthetic
PH665249,9386665249,96,ACTIVE,Provider-A,1,persons_synthetic
PH573823,9853573823,97,ACTIVE,Provider-B,3,persons_synthetic
PH953718,9833953718,98,INACTIVE,Provider-D,2,persons_synthetic
PH822698,9795822698,99,ACTIVE,Provider-C,1,persons_synthetic
PH667861,9176667861,100,ACTIVE,Provider-C,1,persons_synthetic
PH049436,9754049436,101,ACTIVE,Provider-B,2,persons_synthetic
PH802744,9781802744,102,ACTIVE,Provider-C,1,persons_synthetic
PH758720,9283758720,103,ACTIVE,Provider-B,2,persons_synthetic
PH528321,9673528321,104,ACTIVE,Provider-D,3,persons_synthetic
PH893941,9882893941,105,ACTIVE,Provider-B,2,persons_synthetic
PH863730,9362863730,106,ACTIVE,Provider-B,1,persons_synthetic
PH452091,9275452091,107,INACTIVE,Provider-B,2,persons_synthetic
PH348124,9596348124,108,INACTIVE,Provider-B,2,persons_synthetic
PH437181,9507437181,109,ACTIVE,Provider-C,2,persons_synthetic
