transaction_id,sender_actor_id,receiver_actor_id,sender_person_id,receiver_person_id,transaction_type,amount_inr,phase,account_ref,risk_flag,source
TXN-00057,99,33,P099,P033,UPI,45414.9,Phase-3,ACCT-63928,NORMAL,synthetic_financial_records
TXN-00058,37,45,P037,P045,CASH_DEPOSIT,129508.33,Phase-2,ACCT-29073,NORMAL,synthetic_financial_records
TXN-00059,41,36,P041,P036,UPI,117712.95,Phase-1,ACCT-76910,NORMAL,synthetic_financial_records
TXN-00060,65,5,P065,P005,CASH_DEPOSIT,126711.43,Phase-1,ACCT-17422,NORMAL,synthetic_financial_records
TXN-00061,103,35,P103,P035,CASH_WITHDRAWAL,202721.63,Phase-2,ACCT-40602,HIGH,synthetic_financial_records
TXN-00062,93,101,P093,P101,TRANSFER,233324.8,Phase-1,ACCT-40126,HIGH,synthetic_financial_records
TXN-00063,71,109,P071,P109,CARD_PAYMENT,217978.02,Phase-3,ACCT-11771,HIGH,synthetic_financial_records
TXN-00064,96,69,P096,P069,CASH_WITHDRAWAL,184196.03,Phase-2,ACCT-46582,WATCH,synthetic_financial_records
TXN-00065,33,53,P033,P053,TRANSFER,144429.11,Phase-2,ACCT-55219,HIGH,synthetic_financial_records
TXN-00066,107,53,P107,P053,CARD_PAYMENT,137747.15,Phase-3,ACCT-29821,NORMAL,synthetic_financial_records
TXN-00067,46,15,P046,P015,CASH_WITHDRAWAL,227117.12,Phase-2,ACCT-15465,NORMAL,synthetic_financial_records
TXN-00068,106,10,P106,P010,TRANSFER,128370.19,Phase-3,ACCT-30938,NORMAL,synthetic_financial_records
TXN-00069,45,103,P045,P103,CASH_WITHDRAWAL,33330.32,Phase-3,ACCT-70523,WATCH,synthetic_financial_records
TXN-00070,84,47,P084,P047,TRANSFER,232947.88,Phase-2,ACCT-74158,NORMAL,synthetic_financial_records
TXN-00071,102,53,P102,P053,CASH_WITHDRAWAL,25870.38,Phase-2,ACCT-36461,NORMAL,synthetic_financial_records
TXN-00072,103,31,P103,P031,CASH_WITHDRAWAL,103270.4,Phase-3,ACCT-69755,WATCH,synthetic_financial_records
TXN-00073,4,73,P004,P073,CASH_WITHDRAWAL,185821.1,Phase-3,ACCT-63636,NORMAL,synthetic_financial_records
TXN-00074,92,28,P092,P028,UPI,201740.23,Phase-2,ACCT-63798,NORMAL,synthetic_financial_records
TXN-00075,94,64,P094,P064,TRANSFER,96488.32,Phase-1,ACCT-87394,WATCH,synthetic_financial_records
TXN-00076,5,42,P005,P042,CASH_WITHDRAWAL,24476.45,Phase-2,ACCT-72335,HIGH,synthetic_financial_records
TXN-00077,3,100,P003,P100,UPI,207625.62,Phase-2,ACCT-38758,WATCH,synthetic_financial_records
TXN-00078,22,106,P022,P106,CASH_WITHDRAWAL,103881.85,Phase-3,ACCT-48494,NORMAL,synthetic_financial_records
TXN-00079,51,66,P051,P066,CASH_WITHDRAWAL,62423.59,Phase-2,ACCT-36384,WATCH,synthetic_financial_records
TXN-00080,85,88,P085,P088,TRANSFER,230866.86,Phase-1,ACCT-98690,NORMAL,synthetic_financial_records
TXN-00081,42,48,P042,P048,UPI,6621.71,Phase-1,ACCT-23164,NORMAL,synthetic_financial_records
TXN-00082,2,1,P002,P001,CASH_WITHDRAWAL,1699.02,Phase-3,ACCT-83859,WATCH,synthetic_financial_records
TXN-00083,45,61,P045,P061,CASH_DEPOSIT,176818.89,Phase-1,ACCT-60847,HIGH,synthetic_financial_records
TXN-00084,28,82,P028,P082,CASH_DEPOSIT,182128.04,Phase-1,ACCT-84344,HIGH,synthetic_financial_records
TXN-00085,32,96,P032,P096,TRANSFER,76017.78,Phase-3,ACCT-55698,NORMAL,synthetic_financial_records
TXN-00086,26,8,P026,P008,UPI,38536.82,Phase-2,ACCT-23609,WATCH,synthetic_financial_records
TXN-00087,87,64,P087,P064,CASH_DEPOSIT,211187.64,Phase-3,ACCT-42981,NORMAL,synthetic_financial_records
TXN-00088,24,102,P024,P102,CARD_PAYMENT,201747.75,Phase-2,ACCT-74507,NORMAL,synthetic_financial_records
TXN-00089,25,70,P025,P070,CASH_DEPOSIT,243373.78,Phase-2,ACCT-23069,WATCH,synthetic_financial_records
TXN-00090,69,7,P069,P007,TRANSFER,105493.98,Phase-1,ACCT-99257,NORMAL,synthetic_financial_records
TXN-00091,97,62,P097,P062,CASH_WITHDRAWAL,36415.54,Phase-1,ACCT-46806,NORMAL,synthetic_financial_records
TXN-00092,19,82,P019,P082,UPI,108545.79,Phase-3,ACCT-61521,HIGH,synthetic_financial_records
TXN-00093,10,95,P010,P095,CASH_DEPOSIT,191080.1,Phase-2,ACCT-87859,WATCH,synthetic_financial_records
TXN-00094,75,15,P075,P015,TRANSFER,15865.45,Phase-1,ACCT-85686,NORMAL,synthetic_financial_records
TXN-00095,66,90,P066,P090,CASH_WITHDRAWAL,9689.57,Phase-2,ACCT-67671,WATCH,synthetic_financial_records
TXN-00096,44,90,P044,P090,UPI,249411.81,Phase-3,ACCT-49956,HIGH,synthetic_financial_records
TXN-00097,65,72,P065,P072,CASH_WITHDRAWAL,6934.94,Phase-3,ACCT-73115,HIGH,synthetic_financial_records
TXN-00098,9,32,P009,P032,CARD_PAYMENT,201669.84,Phase-1,ACCT-26885,NORMAL,synthetic_financial_records
TXN-00099,102,3,P102,P003,CASH_WITHDRAWAL,123535.26,Phase-1,ACCT-41305,WATCH,synthetic_financial_records
TXN-00100,6,95,P006,P095,CASH_WITHDRAWAL,20713.24,Phase-2,ACCT-95575,NORMAL,synthetic_financial_records
TXN-00101,4,32,P004,P032,CASH_DEPOSIT,217384.15,Phase-2,ACCT-76748,WATCH,synthetic_financial_records
TXN-00102,108,5,P108,P005,CARD_PAYMENT,242303.17,Phase-1,ACCT-18937,NORMAL,synthetic_financial_records
TXN-00103,70,7,P070,P007,UPI,50181.23,Phase-2,ACCT-85963,HIGH,synthetic_financial_records
TXN-00104,59,38,P059,P038,CASH_DEPOSIT,167110.98,Phase-3,ACCT-61174,HIGH,synthetic_financial_records
TXN-00105,74,15,P074,P015,CARD_PAYMENT,137264.89,Phase-3,ACCT-72252,NORMAL,synthetic_financial_records
TXN-00106,93,19,P093,P019,UPI,180530.72,Phase-2,ACCT-60910,HIGH,synthetic_financial_records
TXN-00107,65,88,P065,P088,TRANSFER,142830.35,Phase-1,ACCT-50424,NORMAL,synthetic_financial_records
TXN-00108,97,52,P097,P052,CARD_PAYMENT,246176.84,Phase-3,ACCT-41036,NORMAL,synthetic_financial_records
TXN-00109,67,79,P067,P079,CASH_WITHDRAWAL,150736.57,Phase-2,ACCT-79793,NORMAL,synthetic_financial_records
TXN-00110,97,28,P097,P028,CARD_PAYMENT,30388.18,Phase-1,ACCT-69336,WATCH,synthetic_financial_records
TXN-00111,47,81,P047,P081,CARD_PAYMENT,96393.47,Phase-2,ACCT-15353,WATCH,synthetic_financial_records
TXN-00112,55,87,P055,P087,UPI,129038.34,Phase-2,ACCT-53599,NORMAL,synthetic_financial_records
TXN-00113,90,76,P090,P076,CARD_PAYMENT,24948.1,Phase-2,ACCT-97740,NORMAL,synthetic_financial_records
TXN-00114,100,53,P100,P053,UPI,140042.56,Phase-3,ACCT-31415,NORMAL,synthetic_financial_records
TXN-00115,52,93,P052,P093,UPI,52465.11,Phase-2,ACCT-68293,WATCH,synthetic_financial_records
TXN-00116,108,9,P108,P009,CASH_WITHDRAWAL,234266.29,Phase-1,ACCT-59377,NORMAL,synthetic_financial_records
TXN-00117,19,59,P019,P059,CASH_WITHDRAWAL,109613.13,Phase-3,ACCT-92094,HIGH,synthetic_financial_records
TXN-00118,38,108,P038,P108,TRANSFER,242782.79,Phase-1,ACCT-64582,HIGH,synthetic_financial_records
TXN-00119,10,27,P010,P027,CASH_WITHDRAWAL,164198.93,Phase-2,ACCT-66351,NORMAL,synthetic_financial_records
TXN-00120,35,91,P035,P091,TRANSFER,72197.25,Phase-3,ACCT-75345,NORMAL,synthetic_financial_records
TXN-00121,86,22,P086,P022,CASH_DEPOSIT,177530.14,Phase-3,ACCT-65921,HIGH,synthetic_financial_records
TXN-00122,2,3,P002,P003,TRANSFER,124201.66,Phase-2,ACCT-93011,WATCH,synthetic_financial_records
TXN-00123,86,72,P086,P072,CARD_PAYMENT,230024.05,Phase-1,ACCT-59112,WATCH,synthetic_financial_records
TXN-00124,100,54,P100,P054,CASH_DEPOSIT,43394.01,Phase-3,ACCT-42813,HIGH,synthetic_financial_records
TXN-00125,8,71,P008,P071,CASH_DEPOSIT,12407.05,Phase-3,ACCT-59296,WATCH,synthetic_financial_records
TXN-00126,80,59,P080,P059,CARD_PAYMENT,72967.96,Phase-3,ACCT-45166,HIGH,synthetic_financial_records
TXN-00127,25,36,P025,P036,CASH_WITHDRAWAL,10523.54,Phase-1,ACCT-99842,WATCH,synthetic_financial_records
TXN-00128,80,76,P080,P076,CASH_DEPOSIT,211531.22,Phase-1,ACCT-61819,NORMAL,synthetic_financial_records
TXN-00129,81,73,P081,P073,TRANSFER,249422.34,Phase-3,ACCT-62104,WATCH,synthetic_financial_records
TXN-00130,68,32,P068,P032,CASH_DEPOSIT,10333.96,Phase-1,ACCT-26336,NORMAL,synthetic_financial_records
TXN-00131,49,78,P049,P078,CARD_PAYMENT,67806.68,Phase-1,ACCT-65281,NORMAL,synthetic_financial_records
TXN-00132,105,65,P105,P065,CASH_WITHDRAWAL,48277.9,Phase-1,ACCT-97683,NORMAL,synthetic_financial_records
TXN-00133,65,46,P065,P046,TRANSFER,7918.8,Phase-1,ACCT-97165,WATCH,synthetic_financial_records
TXN-00134,35,15,P035,P015,TRANSFER,244709.96,Phase-2,ACCT-21811,WATCH,synthetic_financial_records
TXN-00135,31,19,P031,P019,CASH_DEPOSIT,206980.78,Phase-1,ACCT-99066,NORMAL,synthetic_financial_records
TXN-00136,46,41,P046,P041,UPI,41698.74,Phase-3,ACCT-71729,HIGH,synthetic_financial_records
TXN-00137,75,95,P075,P095,UPI,212344.01,Phase-3,ACCT-69541,NORMAL,synthetic_financial_records
TXN-00138,93,62,P093,P062,TRANSFER,10949.17,Phase-1,ACCT-26084,HIGH,synthetic_financial_records
TXN-00139,31,69,P031,P069,UPI,15798.43,Phase-3,ACCT-71718,NORMAL,synthetic_financial_records
TXN-00140,7,103,P007,P103,CARD_PAYMENT,8387.46,Phase-1,ACCT-62932,NORMAL,synthetic_financial_records
TXN-00141,109,70,P109,P070,UPI,176730.85,Phase-2,ACCT-80738,WATCH,synthetic_financial_records
TXN-00142,64,69,P064,P069,CARD_PAYMENT,10454.86,Phase-2,ACCT-67415,NORMAL,synthetic_financial_records
TXN-00143,16,18,P016,P018,UPI,74421.35,Phase-2,ACCT-23712,NORMAL,synthetic_financial_records
TXN-00144,18,71,P018,P071,CARD_PAYMENT,248355.69,Phase-3,ACCT-62998,HIGH,synthetic_financial_records
TXN-00145,38,97,P038,P097,UPI,40559.43,Phase-1,ACCT-18760,WATCH,synthetic_financial_records
TXN-00146,15,89,P015,P089,CARD_PAYMENT,232310.0,Phase-3,ACCT-30464,HIGH,synthetic_financial_records
TXN-00147,33,58,P033,P058,CASH_WITHDRAWAL,134924.54,Phase-1,ACCT-32061,HIGH,synthetic_financial_records
TXN-00148,90,76,P090,P076,CASH_DEPOSIT,101534.11,Phase-3,ACCT-98313,NORMAL,synthetic_financial_records
TXN-00149,66,27,P066,P027,UPI,172545.04,Phase-3,ACCT-40790,NORMAL,synthetic_financial_records
TXN-00150,49,39,P049,P039,CARD_PAYMENT,128867.06,Phase-3,ACCT-92635,NORMAL,synthetic_financial_records
TXN-00151,91,42,P091,P042,TRANSFER,147185.72,Phase-1,ACCT-16200,WATCH,synthetic_financial_records
TXN-00152,96,18,P096,P018,CASH_DEPOSIT,64002.03,Phase-1,ACCT-31282,HIGH,synthetic_financial_records
TXN-00153,16,96,P016,P096,UPI,30071.37,Phase-3,ACCT-23668,NORMAL,synthetic_financial_records
TXN-00154,107,92,P107,P092,UPI,43525.99,Phase-3,ACCT-25065,NORMAL,synthetic_financial_records
TXN-00155,74,65,P074,P065,TRANSFER,245214.01,Phase-3,ACCT-62885,NORMAL,synthetic_financial_records
TXN-00156,14,73,P014,P073,TRANSFER,196296.38,Phase-1,ACCT-17845,NORMAL,synthetic_financial_records
TXN-00157,76,13,P076,P013,CASH_DEPOSIT,206127.46,Phase-2,ACCT-30844,HIGH,synthetic_financial_records
TXN-00158,103,3,P103,P003,CARD_PAYMENT,128672.66,Phase-1,ACCT-83336,NORMAL,synthetic_financial_records
TXN-00159,72,89,P072,P089,UPI,147579.19,Phase-3,ACCT-76897,NORMAL,synthetic_financial_records
TXN-00160,32,37,P032,P037,TRANSFER,160659.63,Phase-1,ACCT-40809,WATCH,synthetic_financial_records
TXN-00161,44,76,P044,P076,CASH_DEPOSIT,8321.47,Phase-3,ACCT-22835,NORMAL,synthetic_financial_records
TXN-00162,82,37,P082,P037,CARD_PAYMENT,153920.52,Phase-1,ACCT-27985,HIGH,synthetic_financial_records
TXN-00163,102,48,P102,P048,UPI,79540.63,Phase-3,ACCT-76686,HIGH,synthetic_financial_records
TXN-00164,91,63,P091,P063,CARD_PAYMENT,230386.28,Phase-3,ACCT-16466,NORMAL,synthetic_financial_records
TXN-00165,81,54,P081,P054,CASH_DEPOSIT,64346.04,Phase-3,ACCT-46626,WATCH,synthetic_financial_records
TXN-00166,80,8,P080,P008,TRANSFER,45725.18,Phase-1,ACCT-78727,NORMAL,synthetic_financial_records
TXN-00167,92,32,P092,P032,CASH_WITHDRAWAL,69278.53,Phase-3,ACCT-48674,HIGH,synthetic_financial_records
TXN-00168,18,53,P018,P053,CASH_WITHDRAWAL,99368.04,Phase-3,ACCT-65668,NORMAL,synthetic_financial_records
TXN-00169,31,72,P031,P072,TRANSFER,79930.28,Phase-2,ACCT-11118,HIGH,synthetic_financial_records
TXN-00170,108,63,P108,P063,TRANSFER,45261.57,Phase-3,ACCT-38099,HIGH,synthetic_financial_records
TXN-00171,83,82,P083,P082,UPI,182023.14,Phase-3,ACCT-63417,WATCH,synthetic_financial_records
TXN-00172,71,62,P071,P062,TRANSFER,8360.4,Phase-2,ACCT-70019,NORMAL,synthetic_financial_records
TXN-00173,3,67,P003,P067,CASH_DEPOSIT,134497.32,Phase-2,ACCT-66952,NORMAL,synthetic_financial_records
TXN-00174,84,59,P084,P059,CASH_WITHDRAWAL,193370.93,Phase-2,ACCT-98917,HIGH,synthetic_financial_records
TXN-00175,18,20,P018,P020,CASH_DEPOSIT,38346.75,Phase-3,ACCT-52957,NORMAL,synthetic_financial_records
TXN-00176,102,95,P102,P095,CASH_WITHDRAWAL,235914.08,Phase-3,ACCT-21136,HIGH,synthetic_financial_records
TXN-00177,6,51,P006,P051,TRANSFER,172989.08,Phase-1,ACCT-97408,NORMAL,synthetic_financial_records
TXN-00178,87,90,P087,P090,CASH_DEPOSIT,145597.9,Phase-3,ACCT-61602,WATCH,synthetic_financial_records
TXN-00179,45,81,P045,P081,CASH_DEPOSIT,50995.96,Phase-3,ACCT-13301,NORMAL,synthetic_financial_records
TXN-00180,70,32,P070,P032,TRANSFER,55847.63,Phase-3,ACCT-16257,WATCH,synthetic_financial_records
TXN-00181,76,104,P076,P104,CASH_WITHDRAWAL,185602.92,Phase-1,ACCT-38505,NORMAL,synthetic_financial_records
TXN-00182,19,98,P019,P098,CARD_PAYMENT,195633.79,Phase-1,ACCT-20969,NORMAL,synthetic_financial_records
TXN-00183,53,40,P053,P040,CASH_DEPOSIT,210295.13,Phase-3,ACCT-66522,NORMAL,synthetic_financial_records
TXN-00184,108,20,P108,P020,CARD_PAYMENT,197885.7,Phase-3,ACCT-26637,NORMAL,synthetic_financial_records
TXN-00185,62,83,P062,P083,CARD_PAYMENT,206645.51,Phase-1,ACCT-50148,NORMAL,synthetic_financial_records
TXN-00186,98,109,P098,P109,UPI,192604.26,Phase-1,ACCT-18390,WATCH,synthetic_financial_records
TXN-00187,105,95,P105,P095,CARD_PAYMENT,178270.95,Phase-3,ACCT-85064,HIGH,synthetic_financial_records
TXN-00188,103,77,P103,P077,CASH_DEPOSIT,109208.98,Phase-2,ACCT-93449,NORMAL,synthetic_financial_records
TXN-00189,107,98,P107,P098,CARD_PAYMENT,65746.68,Phase-3,ACCT-86171,WATCH,synthetic_financial_records
TXN-00190,96,78,P096,P078,CASH_DEPOSIT,138119.75,Phase-1,ACCT-65192,NORMAL,synthetic_financial_records
TXN-00191,33,5,P033,P005,TRANSFER,86377.02,Phase-1,ACCT-45414,NORMAL,synthetic_financial_records
TXN-00192,4,53,P004,P053,UPI,157657.0,Phase-2,ACCT-72806,HIGH,synthetic_financial_records
TXN-00193,4,63,P004,P063,UPI,118017.25,Phase-1,ACCT-14838,NORMAL,synthetic_financial_records
TXN-00194,103,88,P103,P088,CASH_WITHDRAWAL,165088.11,Phase-3,ACCT-47402,NORMAL,synthetic_financial_records
TXN-00195,70,19,P070,P019,CASH_WITHDRAWAL,128128.17,Phase-1,ACCT-50148,WATCH,synthetic_financial_records
TXN-00196,89,50,P089,P050,TRANSFER,171169.75,Phase-2,ACCT-98701,HIGH,synthetic_financial_records
TXN-00197,107,109,P107,P109,TRANSFER,205132.36,Phase-3,ACCT-80975,NORMAL,synthetic_financial_records
TXN-00198,17,66,P017,P066,CASH_DEPOSIT,241323.09,Phase-3,ACCT-31446,NORMAL,synthetic_financial_records
TXN-00199,20,29,P020,P029,CASH_DEPOSIT,211792.52,Phase-2,ACCT-90388,HIGH,synthetic_financial_records
TXN-00200,80,67,P080,P067,CASH_WITHDRAWAL,148454.85,Phase-1,ACCT-18626,NORMAL,synthetic_financial_records
TXN-00201,55,49,P055,P049,CARD_PAYMENT,58805.31,Phase-2,ACCT-38423,NORMAL,synthetic_financial_records
TXN-00202,89,70,P089,P070,UPI,161798.96,Phase-2,ACCT-71346,NORMAL,synthetic_financial_records
TXN-00203,4,7,P004,P007,CASH_DEPOSIT,65559.29,Phase-3,ACCT-39765,NORMAL,synthetic_financial_records
TXN-00204,7,3,P007,P003,CASH_WITHDRAWAL,60784.82,Phase-2,ACCT-21721,NORMAL,synthetic_financial_records
TXN-00205,13,48,P013,P048,UPI,127075.54,Phase-3,ACCT-33055,NORMAL,synthetic_financial_records
TXN-00206,65,79,P065,P079,CARD_PAYMENT,234792.12,Phase-1,ACCT-26368,HIGH,synthetic_financial_records
TXN-00207,67,74,P067,P074,TRANSFER,38677.2,Phase-1,ACCT-25098,NORMAL,synthetic_financial_records
TXN-00208,62,89,P062,P089,CASH_WITHDRAWAL,51144.29,Phase-2,ACCT-12124,NORMAL,synthetic_financial_records
TXN-00209,3,29,P003,P029,CASH_DEPOSIT,15990.62,Phase-2,ACCT-82218,WATCH,synthetic_financial_records
TXN-00210,93,76,P093,P076,UPI,50891.76,Phase-2,ACCT-65412,NORMAL,synthetic_financial_records
TXN-00211,79,6,P079,P006,TRANSFER,11611.16,Phase-3,ACCT-55433,HIGH,synthetic_financial_records
TXN-00212,36,13,P036,P013,CASH_DEPOSIT,83539.5,Phase-3,ACCT-55669,WATCH,synthetic_financial_records
TXN-00213,65,25,P065,P025,TRANSFER,88257.74,Phase-2,ACCT-58237,NORMAL,synthetic_financial_records
TXN-00214,40,109,P040,P109,UPI,33630.05,Phase-2,ACCT-48650,HIGH,synthetic_financial_records
TXN-00215,1,7,P001,P007,UPI,127174.27,Phase-2,ACCT-87937,HIGH,synthetic_financial_records
TXN-00216,51,32,P051,P032,CARD_PAYMENT,83602.54,Phase-1,ACCT-25711,NORMAL,synthetic_financial_records
TXN-00217,106,42,P106,P042,TRANSFER,81254.46,Phase-2,ACCT-37956,HIGH,synthetic_financial_records
TXN-00218,52,3,P052,P003,TRANSFER,243170.29,Phase-3,ACCT-97077,NORMAL,synthetic_financial_records
TXN-00219,93,96,P093,P096,CASH_DEPOSIT,84983.9,Phase-1,ACCT-68363,NORMAL,synthetic_financial_records
TXN-00220,51,42,P051,P042,TRANSFER,153479.08,Phase-3,ACCT-67209,NORMAL,synthetic_financial_records
TXN-00221,28,8,P028,P008,CASH_WITHDRAWAL,59901.44,Phase-3,ACCT-28111,WATCH,synthetic_financial_records
TXN-00222,106,19,P106,P019,TRANSFER,237884.95,Phase-3,ACCT-86408,NORMAL,synthetic_financial_records
TXN-00223,89,31,P089,P031,TRANSFER,53400.98,Phase-1,ACCT-65051,NORMAL,synthetic_financial_records
TXN-00224,26,36,P026,P036,TRANSFER,224540.95,Phase-3,ACCT-37079,NORMAL,synthetic_financial_records
TXN-00225,92,40,P092,P040,CARD_PAYMENT,232493.68,Phase-2,ACCT-28715,NORMAL,synthetic_financial_records
TXN-00226,89,15,P089,P015,CASH_DEPOSIT,75900.08,Phase-1,ACCT-27089,WATCH,synthetic_financial_records
