call_id,caller_id,receiver_id,caller_phone,receiver_phone,phase,timestamp,duration_seconds,recording_id,tower_id,source
CALL-0023,P003,P088,9126855092,9782560971,1,Phase-1,646,REC-0023,TWR-0022,call_records_synthetic
CALL-0024,P085,P088,9508157429,9782560971,1,Phase-1,57,REC-0024,TWR-0026,call_records_synthetic
CALL-0025,P085,P088,9508157429,9782560971,1,Phase-1,604,REC-0025,TWR-0003,call_records_synthetic
CALL-0026,P006,P088,9362950628,9782560971,1,Phase-1,233,REC-0026,TWR-0021,call_records_synthetic
CALL-0027,P001,P085,9786579303,9508157429,1,Phase-1,763,REC-0027,TWR-0006,call_records_synthetic
CALL-0028,P001,P085,9786579303,9508157429,1,Phase-1,695,REC-0028,TWR-0004,call_records_synthetic
CALL-0029,P001,P085,9786579303,9508157429,1,Phase-1,748,REC-0029,TWR-0030,call_records_synthetic
CALL-0030,P001,P085,9786579303,9508157429,1,Phase-1,588,REC-0030,TWR-0031,call_records_synthetic
CALL-0031,P001,P085,9786579303,9508157429,1,Phase-1,459,REC-0031,TWR-0003,call_records_synthetic
CALL-0032,P088,P085,9782560971,9508157429,1,Phase-1,255,REC-0032,TWR-0030,call_records_synthetic
CALL-0033,P088,P085,9782560971,9508157429,1,Phase-1,489,REC-0033,TWR-0010,call_records_synthetic
CALL-0034,P088,P085,9782560971,9508157429,1,Phase-1,633,REC-0034,TWR-0023,call_records_synthetic
CALL-0035,P001,P090,9786579303,9491735568,1,Phase-1,314,REC-0035,TWR-0025,call_records_synthetic
CALL-0036,P001,P002,9786579303,9219540831,1,Phase-1,858,REC-0036,TWR-0010,call_records_synthetic
CALL-0037,P001,P002,9786579303,9219540831,1,Phase-1,36,REC-0037,TWR-0020,call_records_synthetic
CALL-0038,P089,P007,9995619255,9339670711,1,Phase-1,807,REC-0038,TWR-0002,call_records_synthetic
CALL-0039,P089,P007,9995619255,9339670711,1,Phase-1,855,REC-0039,TWR-0005,call_records_synthetic
CALL-0040,P089,P007,9995619255,9339670711,1,Phase-1,193,REC-0040,TWR-0018,call_records_synthetic
CALL-0041,P001,P054,9786579303,9469319644,1,Phase-1,744,REC-0041,TWR-0020,call_records_synthetic
CALL-0042,P001,P054,9786579303,9469319644,1,Phase-1,462,REC-0042,TWR-0012,call_records_synthetic
CALL-0043,P083,P006,9349957310,9362950628,1,Phase-1,378,REC-0043,TWR-0011,call_records_synthetic
CALL-0044,P083,P006,9349957310,9362950628,1,Phase-1,314,REC-0044,TWR-0019,call_records_synthetic
CALL-0045,P083,P006,9349957310,9362950628,1,Phase-1,189,REC-0045,TWR-0020,call_records_synthetic
CALL-0046,P083,P006,9349957310,9362950628,1,Phase-1,250,REC-0046,TWR-0028,call_records_synthetic
CALL-0047,P083,P006,9349957310,9362950628,1,Phase-1,811,REC-0047,TWR-0009,call_records_synthetic
CALL-0048,P088,P006,9782560971,9362950628,1,Phase-1,374,REC-0048,TWR-0013,call_records_synthetic
CALL-0049,P085,P006,9508157429,9362950628,1,Phase-1,134,REC-0049,TWR-0018,call_records_synthetic
CALL-0050,P085,P006,9508157429,9362950628,1,Phase-1,124,REC-0050,TWR-0028,call_records_synthetic
CALL-0051,P085,P006,9508157429,9362950628,1,Phase-1,419,REC-0051,TWR-0017,call_records_synthetic
CALL-0052,P085,P006,9508157429,9362950628,1,Phase-1,129,REC-0052,TWR-0021,call_records_synthetic
CALL-0053,P085,P006,9508157429,9362950628,1,Phase-1,397,REC-0053,TWR-0008,call_records_synthetic
CALL-0054,P001,P064,9786579303,9234031070,1,Phase-1,897,REC-0054,TWR-0024,call_records_synthetic
CALL-0055,P001,P008,9786579303,9249827706,1,Phase-1,382,REC-0055,TWR-0011,call_records_synthetic
CALL-0056,P088,P001,9782560971,9786579303,2,Phase-2,648,REC-0056,TWR-0006,call_records_synthetic
CALL-0057,P086,P001,9398471886,9786579303,2,Phase-2,300,REC-0057,TWR-0018,call_records_synthetic
CALL-0058,P002,P001,9219540831,9786579303,2,Phase-2,856,REC-0058,TWR-0021,call_records_synthetic
CALL-0059,P002,P001,9219540831,9786579303,2,Phase-2,74,REC-0059,TWR-0007,call_records_synthetic
CALL-0060,P002,P001,9219540831,9786579303,2,Phase-2,777,REC-0060,TWR-0032,call_records_synthetic
CALL-0061,P002,P001,9219540831,9786579303,2,Phase-2,500,REC-0061,TWR-0030,call_records_synthetic
CALL-0062,P002,P001,9219540831,9786579303,2,Phase-2,579,REC-0062,TWR-0027,call_records_synthetic
CALL-0063,P008,P001,9249827706,9786579303,2,Phase-2,157,REC-0063,TWR-0031,call_records_synthetic
CALL-0064,P008,P001,9249827706,9786579303,2,Phase-2,417,REC-0064,TWR-0025,call_records_synthetic
CALL-0065,P008,P001,9249827706,9786579303,2,Phase-2,110,REC-0065,TWR-0022,call_records_synthetic
CALL-0066,P008,P001,9249827706,9786579303,2,Phase-2,595,REC-0066,TWR-0017,call_records_synthetic
CALL-0067,P008,P001,9249827706,9786579303,2,Phase-2,330,REC-0067,TWR-0026,call_records_synthetic
CALL-0068,P055,P001,9748245888,9786579303,2,Phase-2,879,REC-0068,TWR-0020,call_records_synthetic
CALL-0069,P047,P001,9919795579,9786579303,2,Phase-2,673,REC-0069,TWR-0031,call_records_synthetic
CALL-0070,P098,P001,9833953718,9786579303,2,Phase-2,663,REC-0070,TWR-0026,call_records_synthetic
CALL-0071,P012,P001,9895285932,9786579303,2,Phase-2,400,REC-0071,TWR-0009,call_records_synthetic
CALL-0072,P012,P001,9895285932,9786579303,2,Phase-2,621,REC-0072,TWR-0020,call_records_synthetic
CALL-0073,P001,P089,9786579303,9995619255,2,Phase-2,226,REC-0073,TWR-0019,call_records_synthetic
CALL-0074,P001,P089,9786579303,9995619255,2,Phase-2,751,REC-0074,TWR-0021,call_records_synthetic
CALL-0075,P001,P089,9786579303,9995619255,2,Phase-2,101,REC-0075,TWR-0029,call_records_synthetic
CALL-0076,P001,P089,9786579303,9995619255,2,Phase-2,76,REC-0076,TWR-0029,call_records_synthetic
CALL-0077,P001,P089,9786579303,9995619255,2,Phase-2,707,REC-0077,TWR-0019,call_records_synthetic
CALL-0078,P007,P089,9339670711,9995619255,2,Phase-2,263,REC-0078,TWR-0022,call_records_synthetic
CALL-0079,P001,P083,9786579303,9349957310,2,Phase-2,821,REC-0079,TWR-0026,call_records_synthetic
CALL-0080,P001,P083,9786579303,9349957310,2,Phase-2,326,REC-0080,TWR-0026,call_records_synthetic
CALL-0081,P001,P083,9786579303,9349957310,2,Phase-2,111,REC-0081,TWR-0020,call_records_synthetic
CALL-0082,P001,P083,9786579303,9349957310,2,Phase-2,268,REC-0082,TWR-0015,call_records_synthetic
CALL-0083,P001,P083,9786579303,9349957310,2,Phase-2,133,REC-0083,TWR-0003,call_records_synthetic
CALL-0084,P006,P083,9362950628,9349957310,2,Phase-2,419,REC-0084,TWR-0030,call_records_synthetic
CALL-0085,P001,P003,9786579303,9126855092,2,Phase-2,314,REC-0085,TWR-0027,call_records_synthetic
CALL-0086,P001,P003,9786579303,9126855092,2,Phase-2,494,REC-0086,TWR-0006,call_records_synthetic
CALL-0087,P001,P003,9786579303,9126855092,2,Phase-2,680,REC-0087,TWR-0019,call_records_synthetic
CALL-0088,P001,P003,9786579303,9126855092,2,Phase-2,884,REC-0088,TWR-0004,call_records_synthetic
CALL-0089,P001,P003,9786579303,9126855092,2,Phase-2,403,REC-0089,TWR-0011,call_records_synthetic
CALL-0090,P001,P005,9786579303,9395310485,2,Phase-2,196,REC-0090,TWR-0028,call_records_synthetic
CALL-0091,P001,P005,9786579303,9395310485,2,Phase-2,409,REC-0091,TWR-0030,call_records_synthetic
CALL-0092,P001,P005,9786579303,9395310485,2,Phase-2,393,REC-0092,TWR-0008,call_records_synthetic
CALL-0093,P001,P005,9786579303,9395310485,2,Phase-2,244,REC-0093,TWR-0019,call_records_synthetic
CALL-0094,P001,P005,9786579303,9395310485,2,Phase-2,716,REC-0094,TWR-0025,call_records_synthetic
CALL-0095,P001,P088,9786579303,9782560971,2,Phase-2,303,REC-0095,TWR-0021,call_records_synthetic
CALL-0096,P085,P088,9508157429,9782560971,2,Phase-2,748,REC-0096,TWR-0031,call_records_synthetic
CALL-0097,P001,P090,9786579303,9491735568,2,Phase-2,729,REC-0097,TWR-0020,call_records_synthetic
CALL-0098,P001,P090,9786579303,9491735568,2,Phase-2,693,REC-0098,TWR-0022,call_records_synthetic
CALL-0099,P001,P090,9786579303,9491735568,2,Phase-2,103,REC-0099,TWR-0024,call_records_synthetic
CALL-0100,P001,P002,9786579303,9219540831,2,Phase-2,653,REC-0100,TWR-0021,call_records_synthetic
CALL-0101,P001,P002,9786579303,9219540831,2,Phase-2,680,REC-0101,TWR-0001,call_records_synthetic
CALL-0102,P001,P002,9786579303,9219540831,2,Phase-2,205,REC-0102,TWR-0001,call_records_synthetic
CALL-0103,P001,P002,9786579303,9219540831,2,Phase-2,576,REC-0103,TWR-0032,call_records_synthetic
CALL-0104,P001,P002,9786579303,9219540831,2,Phase-2,776,REC-0104,TWR-0003,call_records_synthetic
CALL-0105,P089,P007,9995619255,9339670711,2,Phase-2,280,REC-0105,TWR-0012,call_records_synthetic
CALL-0106,P001,P064,9786579303,9234031070,2,Phase-2,197,REC-0106,TWR-0011,call_records_synthetic
CALL-0107,P001,P064,9786579303,9234031070,2,Phase-2,503,REC-0107,TWR-0027,call_records_synthetic
CALL-0108,P001,P064,9786579303,9234031070,2,Phase-2,418,REC-0108,TWR-0022,call_records_synthetic
CALL-0109,P008,P064,9249827706,9234031070,2,Phase-2,306,REC-0109,TWR-0014,call_records_synthetic
CALL-0110,P008,P064,9249827706,9234031070,2,Phase-2,685,REC-0110,TWR-0012,call_records_synthetic
CALL-0111,P001,P008,9786579303,9249827706,2,Phase-2,734,REC-0111,TWR-0027,call_records_synthetic
CALL-0112,P001,P008,9786579303,9249827706,2,Phase-2,600,REC-0112,TWR-0007,call_records_synthetic
CALL-0113,P001,P008,9786579303,9249827706,2,Phase-2,254,REC-0113,TWR-0012,call_records_synthetic
CALL-0114,P001,P008,9786579303,9249827706,2,Phase-2,731,REC-0114,TWR-0011,call_records_synthetic
CALL-0115,P001,P008,9786579303,9249827706,2,Phase-2,362,REC-0115,TWR-0023,call_records_synthetic
CALL-0116,P003,P008,9126855092,9249827706,2,Phase-2,893,REC-0116,TWR-0024,call_records_synthetic
CALL-0117,P001,P055,9786579303,9748245888,2,Phase-2,816,REC-0117,TWR-0022,call_records_synthetic
CALL-0118,P001,P055,9786579303,9748245888,2,Phase-2,824,REC-0118,TWR-0020,call_records_synthetic
CALL-0119,P001,P055,9786579303,9748245888,2,Phase-2,87,REC-0119,TWR-0002,call_records_synthetic
CALL-0120,P001,P055,9786579303,9748245888,2,Phase-2,264,REC-0120,TWR-0020,call_records_synthetic
CALL-0121,P001,P010,9786579303,9210053353,2,Phase-2,871,REC-0121,TWR-0014,call_records_synthetic
CALL-0122,P001,P010,9786579303,9210053353,2,Phase-2,62,REC-0122,TWR-0009,call_records_synthetic
CALL-0123,P001,P010,9786579303,9210053353,2,Phase-2,854,REC-0123,TWR-0024,call_records_synthetic
CALL-0124,P003,P010,9126855092,9210053353,2,Phase-2,353,REC-0124,TWR-0028,call_records_synthetic
CALL-0125,P001,P056,9786579303,9384027113,2,Phase-2,440,REC-0125,TWR-0008,call_records_synthetic
CALL-0126,P001,P097,9786579303,9853573823,2,Phase-2,304,REC-0126,TWR-0020,call_records_synthetic
CALL-0127,P001,P097,9786579303,9853573823,2,Phase-2,97,REC-0127,TWR-0003,call_records_synthetic
CALL-0128,P001,P047,9786579303,9919795579,2,Phase-2,246,REC-0128,TWR-0007,call_records_synthetic
CALL-0129,P001,P098,9786579303,9833953718,2,Phase-2,610,REC-0129,TWR-0001,call_records_synthetic
CALL-0130,P001,P076,9786579303,9174684276,2,Phase-2,765,REC-0130,TWR-0031,call_records_synthetic
CALL-0131,P001,P076,9786579303,9174684276,2,Phase-2,352,REC-0131,TWR-0019,call_records_synthetic
CALL-0132,P001,P076,9786579303,9174684276,2,Phase-2,247,REC-0132,TWR-0017,call_records_synthetic
CALL-0133,P001,P076,9786579303,9174684276,2,Phase-2,701,REC-0133,TWR-0007,call_records_synthetic
CALL-0134,P085,P076,9508157429,9174684276,2,Phase-2,541,REC-0134,TWR-0014,call_records_synthetic
CALL-0135,P001,P009,9786579303,9890779946,2,Phase-2,435,REC-0135,TWR-0028,call_records_synthetic
CALL-0136,P001,P009,9786579303,9890779946,2,Phase-2,688,REC-0136,TWR-0011,call_records_synthetic
CALL-0137,P001,P009,9786579303,9890779946,2,Phase-2,499,REC-0137,TWR-0011,call_records_synthetic
CALL-0138,P001,P009,9786579303,9890779946,2,Phase-2,176,REC-0138,TWR-0027,call_records_synthetic
CALL-0139,P001,P009,9786579303,9890779946,2,Phase-2,301,REC-0139,TWR-0032,call_records_synthetic
CALL-0140,P089,P011,9995619255,9826600539,2,Phase-2,172,REC-0140,TWR-0018,call_records_synthetic
CALL-0141,P088,P011,9782560971,9826600539,2,Phase-2,282,REC-0141,TWR-0023,call_records_synthetic
CALL-0142,P083,P001,9349957310,9786579303,3,Phase-3,792,REC-0142,TWR-0028,call_records_synthetic
CALL-0143,P083,P001,9349957310,9786579303,3,Phase-3,604,REC-0143,TWR-0007,call_records_synthetic
CALL-0144,P083,P001,9349957310,9786579303,3,Phase-3,581,REC-0144,TWR-0019,call_records_synthetic
CALL-0145,P083,P001,9349957310,9786579303,3,Phase-3,299,REC-0145,TWR-0001,call_records_synthetic
CALL-0146,P003,P001,9126855092,9786579303,3,Phase-3,794,REC-0146,TWR-0003,call_records_synthetic
CALL-0147,P086,P001,9398471886,9786579303,3,Phase-3,628,REC-0147,TWR-0022,call_records_synthetic
CALL-0148,P086,P001,9398471886,9786579303,3,Phase-3,468,REC-0148,TWR-0002,call_records_synthetic
CALL-0149,P086,P001,9398471886,9786579303,3,Phase-3,627,REC-0149,TWR-0010,call_records_synthetic
CALL-0150,P006,P001,9362950628,9786579303,3,Phase-3,438,REC-0150,TWR-0003,call_records_synthetic
CALL-0151,P006,P001,9362950628,9786579303,3,Phase-3,400,REC-0151,TWR-0005,call_records_synthetic
CALL-0152,P006,P001,9362950628,9786579303,3,Phase-3,254,REC-0152,TWR-0030,call_records_synthetic
CALL-0153,P076,P001,9174684276,9786579303,3,Phase-3,171,REC-0153,TWR-0024,call_records_synthetic
CALL-0154,P009,P001,9890779946,9786579303,3,Phase-3,551,REC-0154,TWR-0009,call_records_synthetic
CALL-0155,P011,P001,9826600539,9786579303,3,Phase-3,535,REC-0155,TWR-0004,call_records_synthetic
CALL-0156,P011,P001,9826600539,9786579303,3,Phase-3,123,REC-0156,TWR-0025,call_records_synthetic
CALL-0157,P011,P001,9826600539,9786579303,3,Phase-3,803,REC-0157,TWR-0017,call_records_synthetic
CALL-0158,P011,P001,9826600539,9786579303,3,Phase-3,78,REC-0158,TWR-0011,call_records_synthetic
CALL-0159,P011,P001,9826600539,9786579303,3,Phase-3,142,REC-0159,TWR-0015,call_records_synthetic
CALL-0160,P084,P001,9208449460,9786579303,3,Phase-3,186,REC-0160,TWR-0019,call_records_synthetic
CALL-0161,P084,P001,9208449460,9786579303,3,Phase-3,672,REC-0161,TWR-0009,call_records_synthetic
CALL-0162,P084,P001,9208449460,9786579303,3,Phase-3,193,REC-0162,TWR-0019,call_records_synthetic
CALL-0163,P084,P001,9208449460,9786579303,3,Phase-3,841,REC-0163,TWR-0022,call_records_synthetic
CALL-0164,P049,P001,9209747451,9786579303,3,Phase-3,726,REC-0164,TWR-0023,call_records_synthetic
CALL-0165,P049,P001,9209747451,9786579303,3,Phase-3,462,REC-0165,TWR-0026,call_records_synthetic
CALL-0166,P050,P001,9199585092,9786579303,3,Phase-3,640,REC-0166,TWR-0015,call_records_synthetic
CALL-0167,P001,P089,9786579303,9995619255,3,Phase-3,95,REC-0167,TWR-0006,call_records_synthetic
CALL-0168,P001,P089,9786579303,9995619255,3,Phase-3,424,REC-0168,TWR-0032,call_records_synthetic
CALL-0169,P001,P089,9786579303,9995619255,3,Phase-3,420,REC-0169,TWR-0005,call_records_synthetic
CALL-0170,P001,P089,9786579303,9995619255,3,Phase-3,640,REC-0170,TWR-0005,call_records_synthetic
CALL-0171,P001,P089,9786579303,9995619255,3,Phase-3,509,REC-0171,TWR-0018,call_records_synthetic
CALL-0172,P001,P083,9786579303,9349957310,3,Phase-3,571,REC-0172,TWR-0014,call_records_synthetic
CALL-0173,P001,P083,9786579303,9349957310,3,Phase-3,287,REC-0173,TWR-0032,call_records_synthetic
CALL-0174,P001,P083,9786579303,9349957310,3,Phase-3,596,REC-0174,TWR-0029,call_records_synthetic
CALL-0175,P001,P083,9786579303,9349957310,3,Phase-3,41,REC-0175,TWR-0001,call_records_synthetic
CALL-0176,P001,P083,9786579303,9349957310,3,Phase-3,726,REC-0176,TWR-0029,call_records_synthetic
CALL-0177,P086,P083,9398471886,9349957310,3,Phase-3,768,REC-0177,TWR-0017,call_records_synthetic
CALL-0178,P086,P083,9398471886,9349957310,3,Phase-3,147,REC-0178,TWR-0021,call_records_synthetic
CALL-0179,P049,P083,9209747451,9349957310,3,Phase-3,728,REC-0179,TWR-0001,call_records_synthetic
CALL-0180,P049,P083,9209747451,9349957310,3,Phase-3,579,REC-0180,TWR-0017,call_records_synthetic
CALL-0181,P049,P083,9209747451,9349957310,3,Phase-3,798,REC-0181,TWR-0032,call_records_synthetic
CALL-0182,P001,P003,9786579303,9126855092,3,Phase-3,303,REC-0182,TWR-0005,call_records_synthetic
CALL-0183,P001,P003,9786579303,9126855092,3,Phase-3,817,REC-0183,TWR-0005,call_records_synthetic
CALL-0184,P001,P003,9786579303,9126855092,3,Phase-3,686,REC-0184,TWR-0015,call_records_synthetic
CALL-0185,P001,P003,9786579303,9126855092,3,Phase-3,378,REC-0185,TWR-0026,call_records_synthetic
CALL-0186,P001,P003,9786579303,9126855092,3,Phase-3,144,REC-0186,TWR-0006,call_records_synthetic
CALL-0187,P086,P003,9398471886,9126855092,3,Phase-3,330,REC-0187,TWR-0009,call_records_synthetic
CALL-0188,P006,P003,9362950628,9126855092,3,Phase-3,475,REC-0188,TWR-0014,call_records_synthetic
CALL-0189,P011,P003,9826600539,9126855092,3,Phase-3,191,REC-0189,TWR-0023,call_records_synthetic
CALL-0190,P049,P003,9209747451,9126855092,3,Phase-3,494,REC-0190,TWR-0028,call_records_synthetic
CALL-0191,P099,P003,9795822698,9126855092,3,Phase-3,33,REC-0191,TWR-0011,call_records_synthetic
CALL-0192,P001,P005,9786579303,9395310485,3,Phase-3,769,REC-0192,TWR-0003,call_records_synthetic
CALL-0193,P001,P005,9786579303,9395310485,3,Phase-3,766,REC-0193,TWR-0026,call_records_synthetic
CALL-0194,P001,P005,9786579303,9395310485,3,Phase-3,299,REC-0194,TWR-0020,call_records_synthetic
CALL-0195,P001,P005,9786579303,9395310485,3,Phase-3,542,REC-0195,TWR-0018,call_records_synthetic
CALL-0196,P001,P005,9786579303,9395310485,3,Phase-3,810,REC-0196,TWR-0005,call_records_synthetic
CALL-0197,P004,P005,9896233790,9395310485,3,Phase-3,212,REC-0197,TWR-0032,call_records_synthetic
CALL-0198,P001,P048,9786579303,9461415646,3,Phase-3,549,REC-0198,TWR-0006,call_records_synthetic
CALL-0199,P001,P048,9786579303,9461415646,3,Phase-3,138,REC-0199,TWR-0030,call_records_synthetic
CALL-0200,P001,P085,9786579303,9508157429,3,Phase-3,670,REC-0200,TWR-0012,call_records_synthetic
CALL-0201,P001,P085,9786579303,9508157429,3,Phase-3,335,REC-0201,TWR-0010,call_records_synthetic
CALL-0202,P001,P085,9786579303,9508157429,3,Phase-3,891,REC-0202,TWR-0019,call_records_synthetic
CALL-0203,P001,P085,9786579303,9508157429,3,Phase-3,684,REC-0203,TWR-0027,call_records_synthetic
CALL-0204,P001,P085,9786579303,9508157429,3,Phase-3,549,REC-0204,TWR-0023,call_records_synthetic
CALL-0205,P003,P085,9126855092,9508157429,3,Phase-3,653,REC-0205,TWR-0010,call_records_synthetic
CALL-0206,P003,P085,9126855092,9508157429,3,Phase-3,233,REC-0206,TWR-0030,call_records_synthetic
CALL-0207,P003,P085,9126855092,9508157429,3,Phase-3,186,REC-0207,TWR-0020,call_records_synthetic
CALL-0208,P003,P085,9126855092,9508157429,3,Phase-3,412,REC-0208,TWR-0025,call_records_synthetic
CALL-0209,P088,P085,9782560971,9508157429,3,Phase-3,810,REC-0209,TWR-0022,call_records_synthetic
CALL-0210,P088,P085,9782560971,9508157429,3,Phase-3,195,REC-0210,TWR-0019,call_records_synthetic
CALL-0211,P088,P085,9782560971,9508157429,3,Phase-3,582,REC-0211,TWR-0017,call_records_synthetic
CALL-0212,P076,P085,9174684276,9508157429,3,Phase-3,827,REC-0212,TWR-0012,call_records_synthetic
CALL-0213,P076,P085,9174684276,9508157429,3,Phase-3,573,REC-0213,TWR-0017,call_records_synthetic
CALL-0214,P001,P090,9786579303,9491735568,3,Phase-3,30,REC-0214,TWR-0006,call_records_synthetic
CALL-0215,P001,P090,9786579303,9491735568,3,Phase-3,643,REC-0215,TWR-0026,call_records_synthetic
CALL-0216,P049,P090,9209747451,9491735568,3,Phase-3,361,REC-0216,TWR-0007,call_records_synthetic
CALL-0217,P001,P086,9786579303,9398471886,3,Phase-3,530,REC-0217,TWR-0021,call_records_synthetic
CALL-0218,P001,P086,9786579303,9398471886,3,Phase-3,49,REC-0218,TWR-0015,call_records_synthetic
CALL-0219,P001,P086,9786579303,9398471886,3,Phase-3,144,REC-0219,TWR-0010,call_records_synthetic
CALL-0220,P001,P086,9786579303,9398471886,3,Phase-3,401,REC-0220,TWR-0007,call_records_synthetic
CALL-0221,P001,P086,9786579303,9398471886,3,Phase-3,881,REC-0221,TWR-0025,call_records_synthetic
CALL-0222,P083,P086,9349957310,9398471886,3,Phase-3,856,REC-0222,TWR-0003,call_records_synthetic
CALL-0223,P083,P086,9349957310,9398471886,3,Phase-3,344,REC-0223,TWR-0010,call_records_synthetic
CALL-0224,P083,P086,9349957310,9398471886,3,Phase-3,275,REC-0224,TWR-0009,call_records_synthetic
CALL-0225,P083,P086,9349957310,9398471886,3,Phase-3,89,REC-0225,TWR-0001,call_records_synthetic
CALL-0226,P083,P086,9349957310,9398471886,3,Phase-3,276,REC-0226,TWR-0007,call_records_synthetic
CALL-0227,P003,P086,9126855092,9398471886,3,Phase-3,610,REC-0227,TWR-0002,call_records_synthetic
CALL-0228,P003,P086,9126855092,9398471886,3,Phase-3,110,REC-0228,TWR-0030,call_records_synthetic
CALL-0229,P003,P086,9126855092,9398471886,3,Phase-3,117,REC-0229,TWR-0019,call_records_synthetic
CALL-0230,P001,P002,9786579303,9219540831,3,Phase-3,779,REC-0230,TWR-0032,call_records_synthetic
CALL-0231,P001,P002,9786579303,9219540831,3,Phase-3,527,REC-0231,TWR-0025,call_records_synthetic
CALL-0232,P001,P002,9786579303,9219540831,3,Phase-3,865,REC-0232,TWR-0019,call_records_synthetic
CALL-0233,P001,P002,9786579303,9219540831,3,Phase-3,100,REC-0233,TWR-0003,call_records_synthetic
CALL-0234,P001,P002,9786579303,9219540831,3,Phase-3,808,REC-0234,TWR-0007,call_records_synthetic
CALL-0235,P001,P007,9786579303,9339670711,3,Phase-3,575,REC-0235,TWR-0011,call_records_synthetic
CALL-0236,P089,P007,9995619255,9339670711,3,Phase-3,814,REC-0236,TWR-0030,call_records_synthetic
CALL-0237,P001,P006,9786579303,9362950628,3,Phase-3,158,REC-0237,TWR-0026,call_records_synthetic
CALL-0238,P001,P006,9786579303,9362950628,3,Phase-3,161,REC-0238,TWR-0003,call_records_synthetic
CALL-0239,P001,P006,9786579303,9362950628,3,Phase-3,705,REC-0239,TWR-0032,call_records_synthetic
CALL-0240,P001,P006,9786579303,9362950628,3,Phase-3,516,REC-0240,TWR-0014,call_records_synthetic
CALL-0241,P083,P006,9349957310,9362950628,3,Phase-3,592,REC-0241,TWR-0025,call_records_synthetic
CALL-0242,P083,P006,9349957310,9362950628,3,Phase-3,199,REC-0242,TWR-0009,call_records_synthetic
CALL-0243,P088,P006,9782560971,9362950628,3,Phase-3,301,REC-0243,TWR-0002,call_records_synthetic
CALL-0244,P001,P008,9786579303,9249827706,3,Phase-3,570,REC-0244,TWR-0006,call_records_synthetic
CALL-0245,P001,P008,9786579303,9249827706,3,Phase-3,651,REC-0245,TWR-0002,call_records_synthetic
CALL-0246,P001,P008,9786579303,9249827706,3,Phase-3,463,REC-0246,TWR-0002,call_records_synthetic
CALL-0247,P009,P008,9890779946,9249827706,3,Phase-3,246,REC-0247,TWR-0007,call_records_synthetic
CALL-0248,P001,P055,9786579303,9748245888,3,Phase-3,582,REC-0248,TWR-0016,call_records_synthetic
CALL-0249,P001,P055,9786579303,9748245888,3,Phase-3,803,REC-0249,TWR-0017,call_records_synthetic
CALL-0250,P001,P055,9786579303,9748245888,3,Phase-3,777,REC-0250,TWR-0011,call_records_synthetic
CALL-0251,P001,P010,9786579303,9210053353,3,Phase-3,736,REC-0251,TWR-0014,call_records_synthetic
CALL-0252,P001,P010,9786579303,9210053353,3,Phase-3,235,REC-0252,TWR-0025,call_records_synthetic
