node_id,node_type,properties_json
PH126396,Phone,"{""phone_number"": ""9134126396""}"
P018,Person,"{""actor_id"": 18, ""person_name"": ""Aditya Rao18"", ""case_id"": ""CASE-1018""}"
PH994523,Phone,"{""phone_number"": ""9131994523""}"
P019,Person,"{""actor_id"": 19, ""person_name"": ""Karan Gupta19"", ""case_id"": ""CASE-1019""}"
PH604502,Phone,"{""phone_number"": ""9200604502""}"
P020,Person,"{""actor_id"": 20, ""person_name"": ""Manish Kumar20"", ""case_id"": ""CASE-1020""}"
PH760738,Phone,"{""phone_number"": ""9334760738""}"
P021,Person,"{""actor_id"": 21, ""person_name"": ""Sahil Khan21"", ""case_id"": ""CASE-1021""}"
PH817734,Phone,"{""phone_number"": ""9349817734""}"
P022,Person,"{""actor_id"": 22, ""person_name"": ""Nikhil Joshi22"", ""case_id"": ""CASE-1022""}"
PH621108,Phone,"{""phone_number"": ""9642621108""}"
P023,Person,"{""actor_id"": 23, ""person_name"": ""Amit Shah23"", ""case_id"": ""CASE-1023""}"
PH412689,Phone,"{""phone_number"": ""9746412689""}"
P024,Person,"{""actor_id"": 24, ""person_name"": ""Raj Malhotra24"", ""case_id"": ""CASE-1024""}"
PH492780,Phone,"{""phone_number"": ""9128492780""}"
P025,Person,"{""actor_id"": 25, ""person_name"": ""Aarav Sharma25"", ""case_id"": ""CASE-1025""}"
PH632297,Phone,"{""phone_number"": ""9702632297""}"
P026,Person,"{""actor_id"": 26, ""person_name"": ""Arjun Mehta26"", ""case_id"": ""CASE-1026""}"
PH500298,Phone,"{""phone_number"": ""9313500298""}"
P027,Person,"{""actor_id"": 27, ""person_name"": ""Rohan Verma27"", ""case_id"": ""CASE-1027""}"
PH820204,Phone,"{""phone_number"": ""9868820204""}"
P028,Person,"{""actor_id"": 28, ""person_name"": ""Vikram Singh28"", ""case_id"": ""CASE-1028""}"
PH808098,Phone,"{""phone_number"": ""9797808098""}"
P029,Person,"{""actor_id"": 29, ""person_name"": ""Rahul Patel29"", ""case_id"": ""CASE-1029""}"
PH041955,Phone,"{""phone_number"": ""9853041955""}"
P030,Person,"{""actor_id"": 30, ""person_name"": ""Aditya Rao30"", ""case_id"": ""CASE-1030""}"
PH126461,Phone,"{""phone_number"": ""9685126461""}"
P031,Person,"{""actor_id"": 31, ""person_name"": ""Karan Gupta31"", ""case_id"": ""CASE-1031""}"
PH455977,Phone,"{""phone_number"": ""9550455977""}"
P032,Person,"{""actor_id"": 32, ""person_name"": ""Manish Kumar32"", ""case_id"": ""CASE-1032""}"
PH696312,Phone,"{""phone_number"": ""9336696312""}"
P033,Person,"{""actor_id"": 33, ""person_name"": ""Sahil Khan33"", ""case_id"": ""CASE-1033""}"
PH334538,Phone,"{""phone_number"": ""9582334538""}"
P034,Person,"{""actor_id"": 34, ""person_name"": ""Nikhil Joshi34"", ""case_id"": ""CASE-1034""}"
PH719211,Phone,"{""phone_number"": ""9732719211""}"
P035,Person,"{""actor_id"": 35, ""person_name"": ""Amit Shah35"", ""case_id"": ""CASE-1035""}"
PH704996,Phone,"{""phone_number"": ""9398704996""}"
P036,Person,"{""actor_id"": 36, ""person_name"": ""Raj Malhotra36"", ""case_id"": ""CASE-1036""}"
PH119330,Phone,"{""phone_number"": ""9969119330""}"
P037,Person,"{""actor_id"": 37, ""person_name"": ""Aarav Sharma37"", ""case_id"": ""CASE-1037""}"
PH977991,Phone,"{""phone_number"": ""9106977991""}"
P038,Person,"{""actor_id"": 38, ""person_name"": ""Arjun Mehta38"", ""case_id"": ""CASE-1038""}"
PH763202,Phone,"{""phone_number"": ""9914763202""}"
P039,Person,"{""actor_id"": 39, ""person_name"": ""Rohan Verma39"", ""case_id"": ""CASE-1039""}"
PH241839,Phone,"{""phone_number"": ""9965241839""}"
P040,Person,"{""actor_id"": 40, ""person_name"": ""Vikram Singh40"", ""case_id"": ""CASE-1040""}"
PH432881,Phone,"{""phone_number"": ""9271432881""}"
P041,Person,"{""actor_id"": 41, ""person_name"": ""Rahul Patel41"", ""case_id"": ""CASE-1041""}"
PH621470,Phone,"{""phone_number"": ""9849621470""}"
P042,Person,"{""actor_id"": 42, ""person_name"": ""Aditya Rao42"", ""case_id"": ""CASE-1042""}"
PH778756,Phone,"{""phone_number"": ""9553778756""}"
P043,Person,"{""actor_id"": 43, ""person_name"": ""Karan Gupta43"", ""case_id"": ""CASE-1043""}"
PH341213,Phone,"{""phone_number"": ""9465341213""}"
P044,Person,"{""actor_id"": 44, ""person_name"": ""Manish Kumar44"", ""case_id"": ""CASE-1044""}"
PH362082,Phone,"{""phone_number"": ""9398362082""}"
P045,Person,"{""actor_id"": 45, ""person_name"": ""Sahil Khan45"", ""case_id"": ""CASE-1045""}"
PH944844,Phone,"{""phone_number"": ""9266944844""}"
P046,Person,"{""actor_id"": 46, ""person_name"": ""Nikhil Joshi46"", ""case_id"": ""CASE-1046""}"
PH191390,Phone,"{""phone_number"": ""9331191390""}"
P047,Person,"{""actor_id"": 47, ""person_name"": ""Amit Shah47"", ""case_id"": ""CASE-1047""}"
PH795579,Phone,"{""phone_number"": ""9919795579""}"
P048,Person,"{""actor_id"": 48, ""person_name"": ""Raj Malhotra48"", ""case_id"": ""CASE-1048""}"
PH415646,Phone,"{""phone_number"": ""9461415646""}"
P049,Person,"{""actor_id"": 49, ""person_name"": ""Aarav Sharma49"", ""case_id"": ""CASE-1049""}"
PH747451,Phone,"{""phone_number"": ""9209747451""}"
P050,Person,"{""actor_id"": 50, ""person_name"": ""Arjun Mehta50"", ""case_id"": ""CASE-1050""}"
PH585092,Phone,"{""phone_number"": ""9199585092""}"
P051,Person,"{""actor_id"": 51, ""person_name"": ""Rohan Verma51"", ""case_id"": ""CASE-1051""}"
PH943839,Phone,"{""phone_number"": ""9507943839""}"
P052,Person,"{""actor_id"": 52, ""person_name"": ""Vikram Singh52"", ""case_id"": ""CASE-1052""}"
PH848421,Phone,"{""phone_number"": ""9203848421""}"
P053,Person,"{""actor_id"": 53, ""person_name"": ""Rahul Patel53"", ""case_id"": ""CASE-1053""}"
PH451171,Phone,"{""phone_number"": ""9485451171""}"
P054,Person,"{""actor_id"": 54, ""person_name"": ""Aditya Rao54"", ""case_id"": ""CASE-1054""}"
PH319644,Phone,"{""phone_number"": ""9469319644""}"
P055,Person,"{""actor_id"": 55, ""person_name"": ""Karan Gupta55"", ""case_id"": ""CASE-1055""}"
PH245888,Phone,"{""phone_number"": ""9748245888""}"
P056,Person,"{""actor_id"": 56, ""person_name"": ""Manish Kumar56"", ""case_id"": ""CASE-1056""}"
PH027113,Phone,"{""phone_number"": ""9384027113""}"
P058,Person,"{""actor_id"": 58, ""person_name"": ""Sahil Khan57"", ""case_id"": ""CASE-1058""}"
PH647391,Phone,"{""phone_number"": ""9966647391""}"
P059,Person,"{""actor_id"": 59, ""person_name"": ""Nikhil Joshi58"", ""case_id"": ""CASE-1059""}"
PH654552,Phone,"{""phone_number"": ""9146654552""}"
P061,Person,"{""actor_id"": 61, ""person_name"": ""Amit Shah59"", ""case_id"": ""CASE-1061""}"
PH543540,Phone,"{""phone_number"": ""9883543540""}"
P062,Person,"{""actor_id"": 62, ""person_name"": ""Raj Malhotra60"", ""case_id"": ""CASE-1062""}"
PH303705,Phone,"{""phone_number"": ""9593303705""}"
P063,Person,"{""actor_id"": 63, ""person_name"": ""Aarav Sharma61"", ""case_id"": ""CASE-1063""}"
PH770529,Phone,"{""phone_number"": ""9675770529""}"
P064,Person,"{""actor_id"": 64, ""person_name"": ""Arjun Mehta62"", ""case_id"": ""CASE-1064""}"
PH031070,Phone,"{""phone_number"": ""9234031070""}"
P065,Person,"{""actor_id"": 65, ""person_name"": ""Rohan Verma63"", ""case_id"": ""CASE-1065""}"
PH448196,Phone,"{""phone_number"": ""9506448196""}"
P066,Person,"{""actor_id"": 66, ""person_name"": ""Vikram Singh64"", ""case_id"": ""CASE-1066""}"
PH611066,Phone,"{""phone_number"": ""9184611066""}"
P067,Person,"{""actor_id"": 67, ""person_name"": ""Rahul Patel65"", ""case_id"": ""CASE-1067""}"
PH749116,Phone,"{""phone_number"": ""9692749116""}"
P068,Person,"{""actor_id"": 68, ""person_name"": ""Aditya Rao66"", ""case_id"": ""CASE-1068""}"
PH797776,Phone,"{""phone_number"": ""9414797776""}"
P069,Person,"{""actor_id"": 69, ""person_name"": ""Karan Gupta67"", ""case_id"": ""CASE-1069""}"
PH566476,Phone,"{""phone_number"": ""9990566476""}"
P070,Person,"{""actor_id"": 70, ""person_name"": ""Manish Kumar68"", ""case_id"": ""CASE-1070""}"
PH996843,Phone,"{""phone_number"": ""9774996843""}"
P071,Person,"{""actor_id"": 71, ""person_name"": ""Sahil Khan69"", ""case_id"": ""CASE-1071""}"
PH130526,Phone,"{""phone_number"": ""9764130526""}"
P072,Person,"{""actor_id"": 72, ""person_name"": ""Nikhil Joshi70"", ""case_id"": ""CASE-1072""}"
PH302652,Phone,"{""phone_number"": ""9488302652""}"
P073,Person,"{""actor_id"": 73, ""person_name"": ""Amit Shah71"", ""case_id"": ""CASE-1073""}"
PH927151,Phone,"{""phone_number"": ""9719927151""}"
P074,Person,"{""actor_id"": 74, ""person_name"": ""Raj Malhotra72"", ""case_id"": ""CASE-1074""}"
PH468299,Phone,"{""phone_number"": ""9306468299""}"
P075,Person,"{""actor_id"": 75, ""person_name"": ""Aarav Sharma73"", ""case_id"": ""CASE-1075""}"
PH528252,Phone,"{""phone_number"": ""9856528252""}"
P076,Person,"{""actor_id"": 76, ""person_name"": ""Arjun Mehta74"", ""case_id"": ""CASE-1076""}"
PH684276,Phone,"{""phone_number"": ""9174684276""}"
P077,Person,"{""actor_id"": 77, ""person_name"": ""Rohan Verma75"", ""case_id"": ""CASE-1077""}"
PH203558,Phone,"{""phone_number"": ""9149203558""}"
P078,Person,"{""actor_id"": 78, ""person_name"": ""Vikram Singh76"", ""case_id"": ""CASE-1078""}"
PH026086,Phone,"{""phone_number"": ""9810026086""}"
P079,Person,"{""actor_id"": 79, ""person_name"": ""Rahul Patel77"", ""case_id"": ""CASE-1079""}"
PH703907,Phone,"{""phone_number"": ""9344703907""}"
P080,Person,"{""actor_id"": 80, ""person_name"": ""Aditya Rao78"", ""case_id"": ""CASE-1080""}"
PH075810,Phone,"{""phone_number"": ""9930075810""}"
P081,Person,"{""actor_id"": 81, ""person_name"": ""Karan Gupta79"", ""case_id"": ""CASE-1081""}"
PH727955,Phone,"{""phone_number"": ""9410727955""}"
P082,Person,"{""actor_id"": 82, ""person_name"": ""Manish Kumar80"", ""case_id"": ""CASE-1082""}"
PH675980,Phone,"{""phone_number"": ""9185675980""}"
P083,Person,"{""actor_id"": 83, ""person_name"": ""Sahil Khan81"", ""case_id"": ""CASE-1083""}"
PH957310,Phone,"{""phone_number"": ""9349957310""}"
P084,Person,"{""actor_id"": 84, ""person_name"": ""Nikhil Joshi82"", ""case_id"": ""CASE-1084""}"
PH449460,Phone,"{""phone_number"": ""9208449460""}"
P085,Person,"{""actor_id"": 85, ""person_name"": ""Amit Shah83"", ""case_id"": ""CASE-1085""}"
PH157429,Phone,"{""phone_number"": ""9508157429""}"
P086,Person,"{""actor_id"": 86, ""person_name"": ""Raj Malhotra84"", ""case_id"": ""CASE-1086""}"
PH471886,Phone,"{""phone_number"": ""9398471886""}"
P087,Person,"{""actor_id"": 87, ""person_name"": ""Aarav Sharma85"", ""case_id"": ""CASE-1087""}"
PH845604,Phone,"{""phone_number"": ""9586845604""}"
P088,Person,"{""actor_id"": 88, ""person_name"": ""Arjun Mehta86"", ""case_id"": ""CASE-1088""}"
PH560971,Phone,"{""phone_number"": ""9782560971""}"
P089,Person,"{""actor_id"": 89, ""person_name"": ""Rohan Verma87"", ""case_id"": ""CASE-1089""}"
PH619255,Phone,"{""phone_number"": ""9995619255""}"
P090,Person,"{""actor_id"": 90, ""person_name"": ""Vikram Singh88"", ""case_id"": ""CASE-1090""}"
PH735568,Phone,"{""phone_number"": ""9491735568""}"
P091,Person,"{""actor_id"": 91, ""person_name"": ""Rahul Patel89"", ""case_id"": ""CASE-1091""}"
PH648506,Phone,"{""phone_number"": ""9274648506""}"
P092,Person,"{""actor_id"": 92, ""person_name"": ""Aditya Rao90"", ""case_id"": ""CASE-1092""}"
PH478786,Phone,"{""phone_number"": ""9497478786""}"
P093,Person,"{""actor_id"": 93, ""person_name"": ""Karan Gupta91"", ""case_id"": ""CASE-1093""}"
PH469012,Phone,"{""phone_number"": ""9481469012""}"
P094,Person,"{""actor_id"": 94, ""person_name"": ""Manish Kumar92"", ""case_id"": ""CASE-1094""}"
PH956459,Phone,"{""phone_number"": ""9324956459""}"
P095,Person,"{""actor_id"": 95, ""person_name"": ""Sahil Khan93"", ""case_id"": ""CASE-1095""}"
PH595113,Phone,"{""phone_number"": ""9819595113""}"
P096,Person,"{""actor_id"": 96, ""person_name"": ""Nikhil Joshi94"", ""case_id"": ""CASE-1096""}"
PH665249,Phone,"{""phone_number"": ""9386665249""}"
P097,Person,"{""actor_id"": 97, ""person_name"": ""Amit Shah95"", ""case_id"": ""CASE-1097""}"
PH573823,Phone,"{""phone_number"": ""9853573823""}"
P098,Person,"{""actor_id"": 98, ""person_name"": ""Raj Malhotra96"", ""case_id"": ""CASE-1098""}"
PH953718,Phone,"{""phone_number"": ""9833953718""}"
P099,Person,"{""actor_id"": 99, ""person_name"": ""Aarav Sharma97"", ""case_id"": ""CASE-1099""}"
PH822698,Phone,"{""phone_number"": ""9795822698""}"
P100,Person,"{""actor_id"": 100, ""person_name"": ""Arjun Mehta98"", ""case_id"": ""CASE-1100""}"
PH667861,Phone,"{""phone_number"": ""9176667861""}"
P101,Person,"{""actor_id"": 101, ""person_name"": ""Rohan Verma99"", ""case_id"": ""CASE-1101""}"
PH049436,Phone,"{""phone_number"": ""9754049436""}"
P102,Person,"{""actor_id"": 102, ""person_name"": ""Vikram Singh100"", ""case_id"": ""CASE-1102""}"
PH802744,Phone,"{""phone_number"": ""9781802744""}"
P103,Person,"{""actor_id"": 103, ""person_name"": ""Rahul Patel101"", ""case_id"": ""CASE-1103""}"
PH758720,Phone,"{""phone_number"": ""9283758720""}"
P104,Person,"{""actor_id"": 104, ""person_name"": ""Aditya Rao102"", ""case_id"": ""CASE-1104""}"
PH528321,Phone,"{""phone_number"": ""9673528321""}"
P105,Person,"{""actor_id"": 105, ""person_name"": ""Karan Gupta103"", ""case_id"": ""CASE-1105""}"
PH893941,Phone,"{""phone_number"": ""9882893941""}"
P106,Person,"{""actor_id"": 106, ""person_name"": ""Manish Kumar104"", ""case_id"": ""CASE-1106""}"
PH863730,Phone,"{""phone_number"": ""9362863730""}"
P107,Person,"{""actor_id"": 107, ""person_name"": ""Sahil Khan105"", ""case_id"": ""CASE-1107""}"
PH452091,Phone,"{""phone_number"": ""9275452091""}"
P108,Person,"{""actor_id"": 108, ""person_name"": ""Nikhil Joshi106"", ""case_id"": ""CASE-1108""}"
PH348124,Phone,"{""phone_number"": ""9596348124""}"
P109,Person,"{""actor_id"": 109, ""person_name"": ""Amit Shah107"", ""case_id"": ""CASE-1109""}"
PH437181,Phone,"{""phone_number"": ""9507437181""}"
CASE-1001,Case,"{""case_type"": ""Theft"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1002,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1003,Case,"{""case_type"": ""Assault"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1004,Case,"{""case_type"": ""Extortion"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1005,Case,"{""case_type"": ""Robbery"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""LOW""}"
CASE-1006,Case,"{""case_type"": ""Assault"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1007,Case,"{""case_type"": ""Fraud"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1008,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1009,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1010,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1011,Case,"{""case_type"": ""Robbery"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
CASE-1012,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""LOW""}"
CASE-1013,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1014,Case,"{""case_type"": ""Fraud"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""LOW""}"
CASE-1015,Case,"{""case_type"": ""Fraud"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1016,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1017,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
CASE-1018,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1019,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1020,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1021,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1022,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1023,Case,"{""case_type"": ""Fraud"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1024,Case,"{""case_type"": ""Assault"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1025,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1026,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1027,Case,"{""case_type"": ""Robbery"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1028,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1029,Case,"{""case_type"": ""Fraud"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1030,Case,"{""case_type"": ""Theft"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1031,Case,"{""case_type"": ""Theft"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1032,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1033,Case,"{""case_type"": ""Robbery"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1034,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1035,Case,"{""case_type"": ""Fraud"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1036,Case,"{""case_type"": ""Theft"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1037,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1038,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1039,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1040,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1041,Case,"{""case_type"": ""Extortion"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1042,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1043,Case,"{""case_type"": ""Theft"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1044,Case,"{""case_type"": ""Theft"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1045,Case,"{""case_type"": ""Extortion"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1046,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1047,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1048,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1049,Case,"{""case_type"": ""Assault"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
CASE-1050,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1051,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1052,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1053,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1054,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1055,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1056,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1058,Case,"{""case_type"": ""Theft"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1059,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
CASE-1061,Case,"{""case_type"": ""Extortion"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1062,Case,"{""case_type"": ""Fraud"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1063,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1064,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1065,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1066,Case,"{""case_type"": ""Robbery"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1067,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1068,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
CASE-1069,Case,"{""case_type"": ""Extortion"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1070,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1071,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1072,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1073,Case,"{""case_type"": ""Robbery"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1074,Case,"{""case_type"": ""Robbery"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""LOW""}"
CASE-1075,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1076,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1077,Case,"{""case_type"": ""Assault"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""LOW""}"
CASE-1078,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""MEDIUM""}"
CASE-1079,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
CASE-1080,Case,"{""case_type"": ""Assault"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1081,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1082,Case,"{""case_type"": ""Fraud"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1083,Case,"{""case_type"": ""Theft"", ""case_status"": ""CLOSED"", ""priority"": ""MEDIUM""}"
